parent_category,category_id,category,question_id,question,answer,faq_url,que_ans
,55c9cf49b0000024002c1703,Order,55bf40a7d000003d0011ffa1,I missed the delivery of my order today. What should I do?,"The courier service delivering your order usually tries to deliver on the next business day in case you miss a delivery.
You can check your SMS for more details on when the courier service will try to deliver again.
 ",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf40a7d000003d0011ffa1&view=FAQ,"I missed the delivery of my order today. What should I do? The courier service delivering your order usually tries to deliver on the next business day in case you miss a delivery.
You can check your SMS for more details on when the courier service will try to deliver again.
 "
,55c9cf49b0000024002c1703,Order,55f2a6eb5b00001e003202ed,Will the delivery be tried again if I'm not able to collect my order the first time?,Couriers make sure that the delivery is re-attempted the next working day if you can't collect your order the first time.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a6eb5b00001e003202ed&view=FAQ,Will the delivery be tried again if I'm not able to collect my order the first time? Couriers make sure that the delivery is re-attempted the next working day if you can't collect your order the first time.
,55c9cf49b0000024002c1703,Order,55f2a6995b00002b003202be,The delivery of my order is delayed. What should I do?,"On the rare occasion that your order is delayed, please check your email & messages for updates. A new delivery timeframe will be shared with you and you can also track its status by visiting My Orders.
 ",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a6995b00002b003202be&view=FAQ,"The delivery of my order is delayed. What should I do? On the rare occasion that your order is delayed, please check your email & messages for updates. A new delivery timeframe will be shared with you and you can also track its status by visiting My Orders.
 "
,55c9cf49b0000024002c1703,Order,55f2a53f5c00003200342b9c,What should I do if my order is approved but hasn't been shipped yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a53f5c00003200342b9c&view=FAQ,What should I do if my order is approved but hasn't been shipped yet? Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.
,55c9cf49b0000024002c1703,Order,55e9455f5a00002500d5e024,Can I take the shipment after opening and checking the contents inside?,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55e9455f5a00002500d5e024&view=FAQ,"Can I take the shipment after opening and checking the contents inside? As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns."
,55c9cf49b0000024002c1703,Order,55bf09421f00002f007dbe9e,How do I know my order has been confirmed?,An e-mail & SMS will be sent once you've successfully placed your order. We'll also let you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account. \n ,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf09421f00002f007dbe9e&view=FAQ,How do I know my order has been confirmed? An e-mail & SMS will be sent once you've successfully placed your order. We'll also let you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account. \n 
,55c9cf49b0000024002c1703,Order,56139a4c1800003a00e7f928,How quickly can I get my order delivered?,Orders will be delivered by the date you see on the product page for your location. ,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=56139a4c1800003a00e7f928&view=FAQ,How quickly can I get my order delivered? Orders will be delivered by the date you see on the product page for your location. 
,55c9cf49b0000024002c1703,Order,55bf29c4bc00003c005be758,"My order has reached the nearest delivery hub, but why isn't it out for delivery yet?","The courier service delivering your order are responsible for making sure that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf29c4bc00003c005be758&view=FAQ,"My order has reached the nearest delivery hub, but why isn't it out for delivery yet? The courier service delivering your order are responsible for making sure that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery."
,55c9cf49b0000024002c1703,Order,55bf2b95ab00002f00e35471,"My order status shows 'Out for Delivery', but I haven't got it yet. When will I get it?",The courier service will contact you for delivery of your order. Please check your SMS for more details.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2b95ab00002f00e35471&view=FAQ,"My order status shows 'Out for Delivery', but I haven't got it yet. When will I get it? The courier service will contact you for delivery of your order. Please check your SMS for more details."
,55c9cf49b0000024002c1703,Order,55f2a7a65b00003700320373,Why can't I track my order even though it has been shipped?,Courier services usually take upto 24 hours to activate tracking for an order once it's shipped. Please check again after the mentioned time frame.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a7a65b00003700320373&view=FAQ,Why can't I track my order even though it has been shipped? Courier services usually take upto 24 hours to activate tracking for an order once it's shipped. Please check again after the mentioned time frame.
,55c9cf49b0000024002c1703,Order,55bf683aab00003800e35487,What should I do if I don't get the invoice for my order?,"Sellers send a hard copy of the invoice in the shipments. A soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email ID.
You can also visit My Account › My Orders page to get invoices for your orders.
",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf683aab00003800e35487&view=FAQ,"What should I do if I don't get the invoice for my order? Sellers send a hard copy of the invoice in the shipments. A soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email ID.
You can also visit My Account › My Orders page to get invoices for your orders.
"
,55c9cf49b0000024002c1703,Order,55c042d66000003100cb5061,How do I get invoices for my previous orders without having to check my e-mails?,"You can easily send invoices to your email ID from your Flipkart account. To do so, visit My Account › Orders, choose the order for which you'd like the invoice for and click on the 'E-mail Invoice' option.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55c042d66000003100cb5061&view=FAQ,"How do I get invoices for my previous orders without having to check my e-mails? You can easily send invoices to your email ID from your Flipkart account. To do so, visit My Account › Orders, choose the order for which you'd like the invoice for and click on the 'E-mail Invoice' option."
,55c9cf49b0000024002c1703,Order,55bf2c98d00000420011ff95,Should I call Flipkart's Customer Care for installation once my product is delivered?,"To make sure that you have a smooth and hassle-free experience, the installation is automatically arranged for your product by the seller within 2-5 business after the item is delivered. You will also get an SMS with the exact installation details after delivery.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2c98d00000420011ff95&view=FAQ,"Should I call Flipkart's Customer Care for installation once my product is delivered? To make sure that you have a smooth and hassle-free experience, the installation is automatically arranged for your product by the seller within 2-5 business after the item is delivered. You will also get an SMS with the exact installation details after delivery."
,55c9cf49b0000024002c1703,Order,55bf2e01bc00003a005be759,"Will my product be installed by the brand or Flipkart? If it is installed by Flipkart, will it affect the warranty of the product?","Your product will be installed by the brand's authorised service partner. Rest assured, the warranty for the product will not be affected when an item is installed by the authorised partners.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2e01bc00003a005be759&view=FAQ,"Will my product be installed by the brand or Flipkart? If it is installed by Flipkart, will it affect the warranty of the product? Your product will be installed by the brand's authorised service partner. Rest assured, the warranty for the product will not be affected when an item is installed by the authorised partners."
,55c9cf49b0000024002c1703,Order,55bf19ad1f00002b007dbea2,How will my order be delivered?,All orders are shipped by sellers through courier services who deliver the packages to your doorstep or the nearest pick-up store if the option is selected.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf19ad1f00002b007dbea2&view=FAQ,How will my order be delivered? All orders are shipped by sellers through courier services who deliver the packages to your doorstep or the nearest pick-up store if the option is selected.
